customer_id,name,age,salary,department,city,years_experience,satisfaction_score,signup_date,churn
dba51b99-4913-4840-b85e-0d1f455ff198,Person_0,23,57098,Engineering,Hyderabad,13,,2020-07-10,0
4f57a639-2057-4566-beac-40ea499cf9ab,Person_1,56,83878,Engineering,Bangalore,10,2.9,2021-11-20,0
10eb978b-d345-42e1-abaa-65f251034fcd,Person_2,60,30695,Support,Chennai,12,3.6,2023-07-11,1
e22b64ba-59dc-4e7c-a7ab-b98db2584952,Person_3,,62930,Sales,Chennai,14,4.3,2022-01-28,1
b88ae03d-7ca7-4ed5-a7d2-666dca561548,Person_4,26,47431,Sales,Bangalore,8,6.8,2023-02-14,0
e01f43f8-728e-4b34-a51e-60701ee9b9f3,Person_5,36,130518,Marketing,Chennai,30,7.5,2021-03-11,1
13be657f-641a-46cb-bce6-fddc34d8ddd5,Person_6,38,122647,Marketing,Hyderabad,18,3.0,2020-10-10,1
72233d8a-ead5-4583-8bd2-1df060573245,Person_7,32,80333,HR,Delhi,14,9.7,2020-01-24,0
e491aae6-5545-474a-aeef-97919b87901f,Person_8,43,81985,Engineering,Mumbai,24,9.2,2023-07-04,1
7a0aa189-5390-4b85-8ffe-f599af4a1127,Person_9,45,95697,Support,Chennai,15,,2022-01-13,1
bf11c1d9-dfc9-4350-8575-97b42eb3fb62,Person_10,27,88699,Support,Bangalore,15,2.5,2022-12-16,1
61b37f78-9b51-4bc7-af77-19d187939c6b,Person_11,34,77296,Marketing,Delhi,14,3.0,2021-11-23,0
d2ea9bcd-b5c3-4efe-b66a-075be5a3b579,Person_12,26,32716,Engineering,Mumbai,7,5.4,2023-01-09,0
71d798af-69b0-405d-af1a-59f4454bf4cb,Person_13,37,130840,Engineering,Chennai,11,5.2,2024-02-02,0
ed829b6c-b387-491b-ac05-72ab5ce3ccb0,Person_14,47,129935,Sales,Bangalore,14,2.7,2022-08-05,0
44e5ae9b-2b5e-4219-ae3c-72d74c3b2fdd,Person_15,57,110477,Engineering,Chennai,27,4.7,2022-09-12,0
fcb9e990-2b77-4ca4-a52e-fa90c4f089ce,Person_16,22,59760,HR,Mumbai,30,8.1,2023-09-17,1
b47c7794-2182-44b2-8c06-374c034c93ba,Person_17,59,32989,Engineering,Chennai,16,5.8,2020-04-26,0
d286d20e-c3ec-4458-9c1e-93b3159e4cf2,Person_18,37,148416,Sales,Hyderabad,19,6.9,2023-03-03,1
18097def-55b4-4247-881f-1f6001389975,Person_19,37,42154,Marketing,Delhi,24,1.1,2023-06-26,0
d6f3f41c-1410-475e-8284-e29b614fd2b0,Person_20,44,140247,Marketing,Bangalore,17,6.5,2023-09-01,0
7deb479f-90c7-4005-a8d1-98caeb7d38de,Person_21,28,42601,Engineering,Hyderabad,9,7.5,2021-02-20,1
83ec6e1b-418b-4a8f-bf7b-fcb8409298d5,Person_22,25,80518,Engineering,Chennai,4,3.4,2022-06-23,1
d452507e-4b92-4103-8cab-b2d6a2b1747b,Person_23,31,134392,Support,Bangalore,1,9.1,2020-03-22,1
d8c7ee8c-f122-4d33-8b76-0c4eccfc8762,Person_24,57,78264,Sales,Bangalore,25,8.9,2020-02-20,0
7c994908-0ff4-4e6e-9814-6c5ffc407a90,Person_25,37,128202,HR,Chennai,7,9.3,2021-12-17,1
6c5e3f0f-15a8-4bc7-87af-757a420edafa,Person_26,34,61517,Marketing,Mumbai,12,8.6,2021-11-09,0
e725fafb-cfdb-4f89-9bfe-4b8f530bccd4,Person_27,38,,Marketing,Mumbai,16,9.1,2021-01-24,1
da354ace-a434-4433-95db-55336a8b38be,Person_28,56,148242,Sales,Mumbai,30,4.0,2021-10-04,0
2102073e-1ef2-42fb-87ca-7bc82f343dc6,Person_29,48,116384,Sales,Bangalore,30,7.7,2020-12-22,1
2452c3f8-a1c6-41e6-901c-f4adb15b0ea1,Person_30,35,101019,Marketing,Delhi,21,5.3,2020-12-13,0
8cff1a72-f2b7-463e-8484-5f08757945e8,Person_31,27,123453,Marketing,Bangalore,4,,2021-05-16,1
de43c50f-e986-46b3-970b-a7dd13caf400,Person_32,58,116272,HR,Bangalore,22,,2020-08-06,1
d4b128c2-6ce4-47fb-8901-637a5cabe2ab,Person_33,51,57662,Engineering,Delhi,14,9.9,2023-05-04,1
760f935b-5ec9-45d9-a5ba-4a16ae6317a5,Person_34,54,143863,Sales,Delhi,24,6.7,2022-12-03,1
afb989d7-6194-4959-80fa-bdc50f214ccf,Person_35,40,69020,Support,Chennai,7,2.4,2021-03-14,0
7a9aaae4-9782-4dd3-8423-20412ab9e018,Person_36,25,80069,Support,Chennai,24,5.3,2021-12-21,1
7aa83728-e259-4374-8f02-69f63c411967,Person_37,48,121289,Support,Bangalore,8,1.3,2021-11-19,1
26d2ba07-3cd1-4cbb-9707-812240a8691d,Person_38,56,,Support,Chennai,13,5.2,2020-04-12,1
3d4c096a-c333-4cf8-98a7-b90503290de1,Person_39,46,149676,Marketing,Chennai,23,10.0,2021-12-17,0
88f98bb1-251b-42dd-a86b-90c6ce299a3e,Person_40,23,51130,Support,Bangalore,15,6.1,2021-03-22,1
897b9208-1f03-46bd-ace7-5445b145f937,Person_41,60,119156,Sales,Mumbai,0,6.2,2022-02-07,1
f07babd1-4d48-4aaa-b473-080c017d6e7f,Person_42,37,126250,Support,Chennai,18,4.1,2022-05-27,1
cf4ed576-7859-47b0-8d3c-1a0f27da9ac0,Person_43,,89251,Marketing,Delhi,13,5.7,2023-08-25,1
b31bb1d7-e61c-4142-8f6b-9fd1a63b8998,Person_44,51,120817,Marketing,Bangalore,2,5.1,2022-08-09,1
ca6f3942-5877-4fed-b30c-822c919567cb,Person_45,53,129573,Marketing,Hyderabad,8,5.6,2021-01-26,0
2abc4828-85fa-4aba-b742-2d7882baac0a,Person_46,37,109659,HR,Chennai,7,3.2,2023-09-21,1
6ab52958-99c5-4a84-bcad-b6058a758fe9,Person_47,57,117124,Marketing,Mumbai,23,2.1,2023-01-02,0
3640aaf6-8c74-4f13-98dc-3dcecf0571c6,Person_48,59,93765,Engineering,Bangalore,11,1.1,2022-12-29,0
0a04f121-eee5-409a-86e4-fa1b324ee60a,Person_49,30,123669,Engineering,Hyderabad,15,2.7,2020-04-15,1
de6a3f9a-f43b-4136-98cf-933e6f3d9ea0,Person_50,47,100631,Engineering,Bangalore,18,1.8,2021-05-23,0
8a67aac6-c855-40a6-b9e5-627346b0ab8a,Person_51,36,74856,HR,Mumbai,13,6.6,2023-06-02,0
0db4dd5a-d602-4356-90f4-a97bf2df1720,Person_52,27,47782,Sales,Chennai,22,3.6,2021-04-19,1
2b9be3ce-b371-4210-9734-c4950d68dbb1,Person_53,36,128262,Support,Bangalore,17,2.3,2021-06-28,0
92796552-8182-4422-b50c-3b189732c3f7,Person_54,58,82560,Marketing,Delhi,16,4.9,2023-05-09,0
0555f70e-e1f0-4b90-a58e-9c67129afeb4,Person_55,23,113381,Support,Hyderabad,24,3.4,2020-03-23,0
8b01d6d2-7735-4c35-a1d6-76c951ad8e53,Person_56,33,82132,HR,Chennai,13,7.0,2020-11-25,1
2f0d1b0c-8628-4157-8255-b866ae8dcb42,Person_57,47,97102,Engineering,Mumbai,3,4.6,2022-11-19,0
9c35e373-5544-4114-9f4c-323e5d386df3,Person_58,34,106609,HR,Chennai,17,3.6,2023-12-01,1
88b1a5e2-c760-4d53-a4c0-89a6f25c8370,Person_59,37,65730,Support,Delhi,26,5.2,2020-08-28,0
99848d0e-152f-4ce8-a4f4-eb4d41f92af5,Person_60,39,88242,Sales,Delhi,12,6.4,2020-10-06,0
3ecf5a36-657a-42c4-966a-954a7b50c065,Person_61,54,25336,Marketing,Hyderabad,21,2.3,2023-01-08,1
6072c55d-0a99-4977-a3f8-ac360d969a10,Person_62,51,138980,Sales,Hyderabad,27,1.4,2022-08-26,1
186060b5-db64-4401-a79c-0aa347cba349,Person_63,31,29852,Support,Mumbai,27,1.9,2022-07-24,0
c31ec19c-2fd9-4935-80f5-29ee59c7c439,Person_64,31,127436,Marketing,Hyderabad,20,4.0,2023-10-13,1
93bb950d-6825-487d-813a-bb3eadc355c0,Person_65,53,29705,Sales,Mumbai,23,9.8,2023-07-21,0
fb9e406e-16a3-4a89-911b-0ea98a81fcb5,Person_66,24,32355,Marketing,Delhi,16,7.1,2021-01-03,0
6ed273c5-f82f-47e3-b7a3-2a021cc55016,Person_67,37,101435,HR,Mumbai,21,,2022-08-10,1
fde9825f-ac6a-4668-819f-19f20d1d5460,Person_68,44,64210,HR,Mumbai,9,4.5,2022-09-16,0
a310c725-f888-4c9c-a35f-859e5c17cbd7,Person_69,40,,HR,Mumbai,,8.0,2020-04-10,1
5b51582f-40fe-44f2-8b99-4c93ab7dafb8,Person_70,36,71179,Sales,Hyderabad,24,6.9,2020-10-07,0
5bed513c-98e0-4757-940e-91a01d6a10ac,Person_71,50,,Sales,Chennai,10,2.6,2020-09-27,1
84d9c3ca-bbca-463a-bc3d-3faf1da4855e,Person_72,38,148756,Marketing,Mumbai,14,2.3,2021-04-07,1
d77ca367-d0a4-4d49-8e0c-05b377fb1ac9,Person_73,47,,HR,Mumbai,21,4.4,2023-07-31,1
20569890-326c-4ce4-b7ea-0338868a5380,Person_74,,98584,Support,Bangalore,20,9.2,2021-09-10,1
89459140-d5f0-4262-b8e7-358b4027c3ad,Person_75,,40220,Support,Bangalore,11,7.7,2023-01-11,1
aeeeaadc-2a9e-4495-8b48-3b01ca9c2fa2,Person_76,28,105694,Marketing,Chennai,6,9.6,2022-01-12,0
58017d28-0e9e-47d1-8a3b-cced36163e71,Person_77,44,61160,Engineering,Delhi,6,6.4,2020-02-13,0
ade826f7-31ba-4938-8cc3-722b80b01ffc,Person_78,58,133765,Sales,Hyderabad,27,8.0,2023-05-05,0
d4f8a0e6-e7c8-4992-89f1-e06ea0d1d10c,Person_79,56,47871,Engineering,Bangalore,,3.1,2021-10-25,0
2596ee25-7db4-4f2a-b99b-424f49da0fca,Person_80,55,33330,Marketing,Hyderabad,14,9.5,2020-03-29,1
e8d3792b-3d17-4060-abe3-c5d840839889,Person_81,52,80872,HR,Delhi,2,2.3,2020-09-15,1
a11e72f4-a82a-4635-b150-698b163585bb,Person_82,46,94541,Support,Hyderabad,25,8.7,2023-08-26,0
4b4de1ec-f03d-40f9-9f63-83d0657bf1eb,Person_83,51,120631,HR,Mumbai,11,7.2,2022-08-29,0
f91a051f-34b6-404b-9f77-1e137cc9d82c,Person_84,45,97924,Support,Hyderabad,3,8.9,2022-05-16,0
c7474154-8f4a-4b97-90a5-263c3f01ac54,Person_85,58,45280,Sales,Chennai,17,7.9,2023-03-21,0
c9e221a0-f157-4a26-bed7-01671a7156cf,Person_86,57,,Marketing,Chennai,22,9.3,2021-12-19,0
ea26d388-8320-4b03-8fc7-76d914b6ce1f,Person_87,26,107991,Engineering,Hyderabad,13,2.4,2021-09-30,1
00014718-8835-4a4c-9dfc-e0bf00ed4d4e,Person_88,25,123885,Engineering,Mumbai,13,5.0,2021-07-13,0
96b79bc9-21da-4781-9b25-974f8cb5347d,Person_89,40,102743,Marketing,Chennai,19,,2021-02-22,1
33e77691-e2f1-4e79-9cac-3b9f456bda08,Person_90,40,26013,HR,Bangalore,17,5.5,2023-09-30,1
003bea82-2f13-42c6-b115-84135edfc06e,Person_91,,,Marketing,Hyderabad,12,4.8,2020-08-23,1
